DATE,Mean_Temp,Max_Temp,Min_Temp,Mean_Precip,Mean_WindSpeed
2012-04-30,11.519354838709678,24.7,-3.6,0.002786885245901639,5.966129032258064
2012-05-01,12.80983606557377,25.2,-3.5,0.07868852459016393,8.465573770491803
2012-05-02,13.833870967741934,26.4,-2.2,0.0024193548387096775,8.048387096774194
2012-05-03,14.998387096774193,27.4,-2.0,0.02725806451612903,6.238709677419355
2012-05-04,16.230645161290322,28.1,-0.5,0.0,4.154098360655738
2012-05-05,17.108196721311472,29.2,-1.0,0.0,4.8213114754098365
2012-05-06,18.09344262295082,30.5,-0.4,0.06491803278688525,7.449180327868852
2012-05-07,18.21451612903226,31.9,-0.4,0.014262295081967212,6.943548387096774
2012-05-08,17.274193548387096,32.2,-5.0,0.012096774193548387,4.732258064516128
2012-05-09,17.041935483870965,31.6,-4.2,0.2283050847457627,4.766129032258065
2012-05-10,16.04516129032258,31.7,-0.8,0.22035087719298246,6.304838709677419
2012-05-11,13.917741935483871,32.5,-3.4,0.06344262295081968,6.198387096774193
2012-05-12,11.795081967213115,28.9,-9.0,0.03333333333333333,6.516393442622951
2012-05-13,11.188524590163935,23.7,-5.3,0.0031666666666666666,4.545901639344263
2012-05-14,12.937096774193549,26.5,-3.7,0.30129032258064514,4.238709677419355
2012-05-15,14.064516129032258,27.0,-3.0,0.06524590163934427,6.04516129032258
2012-05-16,15.008064516129032,28.0,-4.0,0.0033870967741935483,6.583870967741936
2012-05-17,15.131147540983607,29.2,-6.5,0.021500000000000002,6.767213114754099
2012-05-18,14.264516129032257,28.4,-9.4,0.24508474576271186,6.583870967741936
2012-05-19,13.168852459016392,29.0,-5.8,0.12166666666666666,6.567213114754098
2012-05-20,14.039344262295081,29.4,-4.7,0.012586206896551724,6.665573770491804
2012-05-21,13.021666666666667,29.5,-6.4,0.07620689655172413,5.678333333333333
2012-05-22,12.549180327868852,28.8,-6.0,0.1147457627118644,4.159016393442623
2012-05-23,12.451612903225806,29.0,-7.0,0.1916949152542373,5.151612903225806
2012-05-24,11.922580645161291,26.6,-6.6,0.14709677419354839,4.506451612903225
2012-05-25,13.038983050847456,26.6,-4.7,0.009482758620689657,4.7322033898305085
2012-05-26,13.985245901639345,25.5,-6.0,0.012542372881355932,5.391803278688524
2012-05-27,16.098360655737704,29.0,-0.6,0.19017241379310343,7.00655737704918
2012-05-28,16.42258064516129,30.5,-4.1,0.16098360655737706,4.848387096774194
2012-05-29,16.483870967741936,31.3,-7.4,0.059838709677419354,6.675806451612903
2012-05-30,13.158064516129032,31.6,-8.6,0.0519672131147541,5.612903225806452
2012-05-31,10.966129032258063,25.7,-9.0,0.0029032258064516127,4.056451612903226
2012-06-01,11.614516129032259,26.5,-8.8,0.05288135593220339,4.637096774193548
2012-06-02,14.18360655737705,28.0,-5.0,0.10872727272727274,7.162295081967213
2012-06-03,11.80327868852459,29.2,-6.0,0.02983050847457627,7.19672131147541
2012-06-04,9.065573770491802,23.9,-7.0,0.039655172413793106,6.919672131147541
2012-06-05,7.27741935483871,19.8,-6.6,0.01540983606557377,6.224193548387096
2012-06-06,5.925806451612903,20.2,-10.4,0.009152542372881357,9.035483870967743
2012-06-07,4.019354838709678,19.5,-11.7,0.001935483870967742,5.870967741935484
2012-06-08,4.643548387096774,17.2,-11.3,0.0,4.085483870967742
2012-06-09,5.834426229508196,20.4,-11.5,0.05083333333333333,6.014754098360656
2012-06-10,8.750819672131147,23.0,-9.8,0.015254237288135594,4.316393442622951
2012-06-11,9.05483870967742,25.2,-7.1,0.013833333333333335,4.511290322580645
2012-06-12,12.245161290322581,31.3,-3.8,0.01293103448275862,6.851612903225806
2012-06-13,15.2,33.0,-10.4,0.07716666666666666,5.951612903225806
2012-06-14,13.94516129032258,33.8,-9.5,0.012096774193548387,5.853225806451612
2012-06-15,11.537096774193548,31.4,-11.8,0.022631578947368423,6.069354838709677
2012-06-16,8.532786885245901,31.4,-12.4,0.08149999999999999,6.842622950819671
2012-06-17,7.732786885245901,26.0,-8.4,0.025254237288135594,4.831147540983606
2012-06-18,8.658064516129032,23.0,-8.6,0.08583333333333334,5.275806451612904
2012-06-19,8.849180327868853,22.0,-6.7,0.0060655737704918035,4.954098360655737
2012-06-20,9.583870967741936,22.6,-6.8,0.019166666666666665,5.591935483870968
2012-06-21,10.417741935483871,22.6,-6.3,0.00983050847457627,7.209677419354839
2012-06-22,9.860655737704919,25.6,-10.5,0.04295081967213115,6.172131147540983
2012-06-23,10.609836065573772,25.0,-11.7,0.024262295081967214,6.532786885245901
2012-06-24,11.345901639344262,27.6,-8.8,0.04916666666666667,7.216393442622951
2012-06-25,9.524193548387096,28.2,-9.2,0.007903225806451612,6.003225806451613
2012-06-26,11.334920634920636,25.5,-9.0,0.07163934426229508,6.233333333333333
2012-06-27,14.219354838709679,29.6,-7.9,0.028064516129032258,7.237096774193549
2012-06-28,15.225806451612904,33.6,-7.5,0.02180327868852459,7.535483870967742
2012-06-29,14.12063492063492,33.6,-6.7,0.05241935483870968,6.561904761904762
2012-06-30,13.417741935483871,30.3,-6.4,0.037868852459016396,5.653225806451613
2012-07-01,15.488709677419354,32.0,-7.5,0.04672131147540983,6.079032258064516
2012-07-02,11.906557377049179,32.4,-5.8,0.03745762711864407,9.777049180327868
2012-07-03,6.970967741935484,31.0,-9.6,0.044333333333333336,7.580645161290323
2012-07-04,7.116129032258065,28.1,-9.2,0.042333333333333334,5.153225806451613
2012-07-05,6.524193548387097,27.7,-8.0,0.03721311475409836,7.498387096774193
2012-07-06,5.66774193548387,24.3,-9.5,0.01918032786885246,5.214516129032258
2012-07-07,6.095,19.0,-9.2,0.03542372881355932,6.305000000000001
2012-07-08,7.816393442622951,21.0,-10.1,0.013166666666666667,8.137704918032787
